Loan Date Quarter,BorrowerState,LoanAmount
2009-Q3,OH,159598
2009-Q3,OK,51306
2009-Q3,OR,129080
2009-Q3,PA,195600
2009-Q3,RI,18000
2009-Q3,SC,94282
2009-Q3,SD,9500
2009-Q3,TN,83900
2009-Q3,TX,405257
2009-Q3,UT,42300
2009-Q3,VA,187697
2009-Q3,VT,7000
2009-Q3,WA,256456
2009-Q3,WI,119350
2009-Q3,WV,39750
2009-Q3,WY,7750
2009-Q4,AK,6000
2009-Q4,AL,76564
2009-Q4,AR,43622
2009-Q4,AZ,132471
2009-Q4,CA,845960
2009-Q4,CO,157180
2009-Q4,CT,106100
2009-Q4,DC,7600
2009-Q4,DE,8000
2009-Q4,FL,346499
2009-Q4,GA,294750
2009-Q4,HI,4600
2009-Q4,ID,54099
2009-Q4,IL,368461
2009-Q4,IN,74900
2009-Q4,KS,53150
2009-Q4,KY,48800
2009-Q4,LA,82700
2009-Q4,MA,126665
2009-Q4,MD,158951
2009-Q4,MI,154900
2009-Q4,MN,112500
2009-Q4,MO,155427
2009-Q4,MS,63050
2009-Q4,MT,6050
2009-Q4,NC,192850
2009-Q4,NE,36000
2009-Q4,NH,20000
2009-Q4,NJ,191373
2009-Q4,NM,15000
2009-Q4,NV,50500
2009-Q4,NY,300310
2009-Q4,OH,192353
2009-Q4,OK,51450
2009-Q4,OR,118750
2009-Q4,PA,111300
2009-Q4,RI,46000
2009-Q4,SC,104747
2009-Q4,SD,32000
2009-Q4,TN,143300
2009-Q4,TX,356528
2009-Q4,UT,48650
2009-Q4,VA,192200
2009-Q4,VT,7500
2009-Q4,WA,146430
2009-Q4,WI,72900
2009-Q4,WV,7500
2009-Q4,WY,7050
2010-Q1,AK,24700
2010-Q1,AL,86750
2010-Q1,AR,36500
2010-Q1,AZ,96850
2010-Q1,CA,791190
2010-Q1,CO,128050
2010-Q1,CT,142900
2010-Q1,DC,22900
2010-Q1,DE,15100
2010-Q1,FL,402550
2010-Q1,GA,285525
2010-Q1,HI,17500
2010-Q1,ID,66200
2010-Q1,IL,278174
2010-Q1,IN,101500
2010-Q1,KS,38200
2010-Q1,KY,52634
2010-Q1,LA,26575
2010-Q1,MA,133400
2010-Q1,MD,230800
2010-Q1,MI,183220
2010-Q1,MN,132950
2010-Q1,MO,157295
2010-Q1,MS,28750
2010-Q1,MT,21900
2010-Q1,NC,214530
2010-Q1,NE,36700
2010-Q1,NH,24950
2010-Q1,NJ,167000
2010-Q1,NM,22850
2010-Q1,NV,89660
2010-Q1,NY,375999
2010-Q1,OH,244550
2010-Q1,OK,58400
2010-Q1,OR,101150
2010-Q1,PA,169240
2010-Q1,RI,10000
2010-Q1,SC,81800
2010-Q1,SD,15500
2010-Q1,TN,121950
2010-Q1,TX,421465
2010-Q1,UT,67600
2010-Q1,VA,307229
2010-Q1,VT,12100
2010-Q1,WA,183500
2010-Q1,WI,113300
2010-Q1,WV,26500
2010-Q1,WY,13100
2010-Q2,AK,7500
2010-Q2,AL,66900
2010-Q2,AR,17100
2010-Q2,AZ,123100
2010-Q2,CA,745650
2010-Q2,CO,98800
2010-Q2,CT,71900
2010-Q2,DE,41500
2010-Q2,FL,343276
2010-Q2,GA,320875
2010-Q2,HI,3500
2010-Q2,ID,25000
2010-Q2,IL,524344
2010-Q2,IN,173574
2010-Q2,KS,36799
2010-Q2,KY,31600
2010-Q2,LA,65150
2010-Q2,MA,170800
2010-Q2,MD,147600
2010-Q2,MI,214250
2010-Q2,MN,102350
2010-Q2,MO,146700
2010-Q2,MS,36500
2010-Q2,MT,14000
2010-Q2,NC,212809
2010-Q2,NE,35300
2010-Q2,NH,5850
2010-Q2,NJ,151900
2010-Q2,NM,18500
2010-Q2,NV,41925
2010-Q2,NY,394648
2010-Q2,OH,251735
2010-Q2,OK,45325
2010-Q2,OR,105601
2010-Q2,PA,189210
2010-Q2,RI,15500
2010-Q2,SC,99000
2010-Q2,SD,1000
2010-Q2,TN,151135
2010-Q2,TX,381039
2010-Q2,UT,39000
2010-Q2,VA,309512
2010-Q2,VT,3500
2010-Q2,WA,163250
2010-Q2,WI,78250
2010-Q2,WV,11200
